id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
432,5,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,47,21,110252,78976,31276,2570,112822
432,6,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,54,27,223944,192384,31560,2862,226806
432,7,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,58,30,236172,204672,31500,2821,238993
432,8,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,59,31,163706,131584,32122,3493,167199
432,9,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,104,77,517385,481408,35977,6724,524109
432,10,10,orders/semirings.v,math-classes,0,1,success,,1,1,0,,71,44,225693,202496,23197,4270,229963
665,1,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,70,55,209246,172160,37086,8172,217418
665,2,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,63,49,190321,156928,33393,4890,195211
665,3,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,73,59,370802,328448,42354,5570,376372
665,4,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,80,66,158838,124800,34038,6183,165021
665,5,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,63,47,253423,222592,30831,4447,257870
665,6,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,53,37,136582,110976,25606,3856,140438
665,7,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,115,100,315019,275968,39051,6804,321823
665,8,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,66,51,275840,241536,34304,4898,280738
665,9,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,63,48,185461,148736,36725,5004,190465
665,10,10,theories/myhill_nerode.v,reglang,0,1,success,,1,1,0,,59,43,231547,198784,32763,4936,236483
848,1,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,201,199,416305,368256,48049,22693,438998
848,2,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,184,182,256384,217856,38528,21491,277875
848,3,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,94,92,270071,235008,35063,9987,280058
848,4,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,254,252,934506,895360,39146,26817,961323
848,5,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,83,80,210865,175744,35121,8890,219755
848,6,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,112,109,177570,138496,39074,12883,190453
848,7,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,234,232,743671,703744,39927,28583,772254
848,8,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,209,206,528350,493696,34654,26502,554852
848,9,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,626,624,2326543,2251648,74895,68579,2395122
848,10,10,theories/ctree.v,fourcolor,3,1,success,,1,1,0,,270,268,645507,598144,47363,31002,676509
978,1,10,misc/util.v,math-classes,0,1,success,,1,1,0,,253,251,778172,731776,46396,24422,802594
978,2,10,misc/util.v,math-classes,0,1,success,,1,1,0,,260,258,808721,745216,63505,26207,834928
978,3,10,misc/util.v,math-classes,0,1,success,,1,1,0,,138,135,538696,506112,32584,14352,553048
978,4,10,misc/util.v,math-classes,0,1,success,,1,1,0,,58,55,239726,211712,28014,7639,247365
978,5,10,misc/util.v,math-classes,0,1,success,,1,1,0,,75,73,393808,357760,36048,6368,400176
978,6,10,misc/util.v,math-classes,0,1,success,,1,1,0,,171,168,852157,811264,40893,16717,868874
978,7,10,misc/util.v,math-classes,0,1,success,,1,1,0,,27,24,108997,85376,23621,2085,111082
978,8,10,misc/util.v,math-classes,0,1,success,,1,1,0,,46,44,285114,257024,28090,3022,288136
978,9,10,misc/util.v,math-classes,0,1,success,,1,1,0,,49,46,342693,309760,32933,6458,349151
978,10,10,misc/util.v,math-classes,0,1,success,,1,1,0,,92,90,316507,290176,26331,9500,326007
1225,1,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,446,439,953130,881920,71210,49995,1003125
1225,2,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1041,1033,7120774,7041664,79110,114520,7235294
1225,3,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1088,1081,3489838,3414400,75438,96815,3586653
1225,4,10,MenhirLib/Interpreter_complete.v,compcert,13,1,success,,1,1,0,,1572,1564,2380747,2271488,109259,158660,2539407
