id,trial,repeats,target_coq_file,project,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
432,8,10,orders/semirings.v,math-classes,1,success,,1,1,0,,70,34,71428,63488,7940,1529,72957
432,9,10,orders/semirings.v,math-classes,1,success,,1,1,0,,61,26,31770,29184,2586,1205,32975
432,10,10,orders/semirings.v,math-classes,1,success,,1,1,0,,69,33,44710,40320,4390,1696,46406
665,1,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,60,36,32771,29824,2947,2179,34950
665,2,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,60,36,26573,23296,3277,2371,28944
665,3,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,72,49,29961,25472,4489,3309,33270
665,4,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,72,49,37000,32640,4360,3208,40208
665,5,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,82,59,41608,36608,5000,4212,45820
665,6,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,60,37,35531,32384,3147,2088,37619
665,7,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,50,27,17262,15104,2158,1274,18536
665,8,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,65,42,35923,31872,4051,2647,38570
665,9,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,68,45,45897,42880,3017,2835,48732
665,10,10,theories/myhill_nerode.v,reglang,1,success,,1,1,0,,55,32,26211,22784,3427,1704,27915
848,1,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,215,205,247515,238464,9051,17745,265260
848,2,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,145,135,103677,97664,6013,11986,115663
848,3,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,82,71,112953,104832,8121,5938,118891
848,4,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,164,153,174880,161280,13600,13094,187974
848,5,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,101,90,75717,71424,4293,7236,82953
848,6,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,330,319,590139,573312,16827,26843,616982
848,7,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,142,130,271316,259840,11476,10874,282190
848,8,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,83,71,79792,71680,8112,6522,86314
848,9,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,133,122,199446,189696,9750,11923,211369
848,10,10,theories/ctree.v,fourcolor,1,success,,1,1,0,,88,76,79703,74752,4951,9432,89135
978,1,10,misc/util.v,math-classes,1,success,,1,1,0,,60,49,79549,75904,3645,2843,82392
978,2,10,misc/util.v,math-classes,1,success,,1,1,0,,27,16,23820,22016,1804,873,24693
978,3,10,misc/util.v,math-classes,1,success,,1,1,0,,77,66,119726,114560,5166,4145,123871
978,4,10,misc/util.v,math-classes,1,success,,1,1,0,,49,38,90950,85120,5830,2196,93146
978,5,10,misc/util.v,math-classes,1,success,,1,1,0,,53,42,111607,102400,9207,2671,114278
978,6,10,misc/util.v,math-classes,1,success,,1,1,0,,49,37,45078,39680,5398,2644,47722
978,7,10,misc/util.v,math-classes,1,success,,1,1,0,,155,144,488352,473984,14368,9366,497718
978,8,10,misc/util.v,math-classes,1,success,,1,1,0,,135,125,346480,337536,8944,7178,353658
978,9,10,misc/util.v,math-classes,1,success,,1,1,0,,55,44,85571,81408,4163,2517,88088
978,10,10,misc/util.v,math-classes,1,success,,1,1,0,,61,51,54958,49664,5294,3064,58022
1225,1,10,MenhirLib/Interpreter_complete.v,compcert,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1800,15570307,15487616,82691,151564,15721871
1225,2,10,MenhirLib/Interpreter_complete.v,compcert,1,success,,1,1,0,,577,561,2354354,2323456,30898,47448,2401802
1225,3,10,MenhirLib/Interpreter_complete.v,compcert,1,success,,1,1,0,,655,639,3585265,3542912,42353,46815,3632080
1225,4,10,MenhirLib/Interpreter_complete.v,compcert,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1809,1800,16336918,16245888,91030,149496,16486414
1225,5,10,MenhirLib/Interpreter_complete.v,compcert,1,success,,1,1,0,,1479,1462,11951383,11889408,61975,126715,12078098
1225,6,10,MenhirLib/Interpreter_complete.v,compcert,1,success,,1,1,0,,1050,1034,7565496,7512704,52792,96853,7662349
1225,7,10,MenhirLib/Interpreter_complete.v,compcert,1,success,,1,1,0,,475,459,2860551,2819328,41223,36012,2896563
1225,8,10,MenhirLib/Interpreter_complete.v,compcert,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1808,1800,14079133,13986176,92957,148940,14228073
1225,9,10,MenhirLib/Interpreter_complete.v,compcert,1,success,,1,1,0,,755,740,7761793,7698176,63617,58905,7820698
1225,10,10,MenhirLib/Interpreter_complete.v,compcert,1,success,,1,1,0,,742,727,4071916,4027136,44780,68977,4140893
1333,1,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,200,90,69011,66432,2579,3454,72465
1333,2,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,180,69,59524,57216,2308,3131,62655
1333,3,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,203,93,102909,98560,4349,5510,108419
1333,4,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,271,162,132375,125696,6679,5448,137823
1333,5,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,194,85,78516,76160,2356,6646,85162
1333,6,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,218,105,112176,106752,5424,5643,117819
1333,7,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,176,67,109226,103168,6058,3185,112411
1333,8,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,166,57,56698,54144,2554,2449,59147
1333,9,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,165,55,65878,62976,2902,2227,68105
1333,10,10,cfrontend/Cshmgenproof.v,compcert,1,success,,1,1,0,,169,60,56407,54144,2263,2588,58995
1355,1,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,985,891,2251679,2214144,37535,81320,2332999
1355,2,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,1609,1515,8085039,8017024,68015,132884,8217923
1355,3,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,1291,1198,7130686,7075328,55358,110814,7241500
1355,4,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,772,677,2792488,2747904,44584,58266,2850754
1355,5,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,1089,995,5612272,5542144,70128,100096,5712368
1355,6,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,1466,1375,12352003,12292352,59651,120358,12472361
1355,7,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,1244,1152,7064931,7013248,51683,108087,7173018
1355,8,10,x86/SelectOpproof.v,compcert,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,2063,1800,9951155,9899776,51379,75692,10026847
1355,9,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,1094,1003,6144311,6086784,57527,102577,6246888
1355,10,10,x86/SelectOpproof.v,compcert,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1885,1800,16133244,16072064,61180,183461,16316705
1599,1,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,336,199,1032475,1005056,27419,13509,1045984
1599,2,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,437,303,2409255,2368384,40871,22951,2432206
1599,3,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,377,239,998679,961280,37399,16586,1015265
1599,4,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,373,236,1121073,1102848,18225,17401,1138474
1599,5,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,644,507,4814351,4765312,49039,37027,4851378
1599,6,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,475,337,1158338,1136384,21954,25141,1183479
1599,7,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,744,609,2131287,2112512,18775,47516,2178803
1599,8,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,401,264,1555400,1529600,25800,19348,1574748
1599,9,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,373,236,958438,940160,18278,18126,976564
1599,10,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,311,176,706451,682752,23699,11694,718145
1703,1,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,270,194,146887,143488,3399,13519,160406
1703,2,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,161,85,85138,83072,2066,4628,89766
1703,3,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,146,71,52780,48768,4012,4247,57027
1703,4,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,182,106,103905,102016,1889,9785,113690
1703,5,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,133,55,39959,38016,1943,2836,42795
1703,6,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,142,66,31956,30592,1364,4391,36347
1703,7,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,271,195,211483,206592,4891,15132,226615
1703,8,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,226,150,168148,162816,5332,11022,179170
1703,9,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,155,79,51252,48768,2484,5675,56927
1703,10,10,backend/Cminortyping.v,compcert,1,success,,1,1,0,,236,160,132485,129536,2949,12953,145438
1826,1,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,157,63,95829,88832,6997,3100,98929
1826,2,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,162,69,98526,91520,7006,3468,101994
1826,3,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,150,57,93534,85888,7646,2950,96484
1826,4,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,260,167,316657,299520,17137,12749,329406
1826,5,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,144,51,78518,73472,5046,2091,80609
1826,6,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,159,65,123088,113920,9168,3398,126486
1826,7,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,191,98,134680,127104,7576,6918,141598
1826,8,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,147,54,89859,84992,4867,2812,92671
1826,9,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,251,156,463919,443904,20015,11522,475441
1826,10,10,x86/SelectOpproof.v,compcert,1,success,,1,1,0,,180,88,222119,211712,10407,4722,226841
1996,1,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,97,34,34541,31872,2669,1343,35884
1996,2,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,98,35,35735,33664,2071,1375,37110
1996,3,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,101,39,36452,33920,2532,1646,38098
1996,4,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,102,38,70214,64256,5958,1585,71799
1996,5,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,97,33,29556,28032,1524,1326,30882
1996,6,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,100,38,40358,38656,1702,1606,41964
1996,7,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,103,40,44372,41984,2388,1879,46251
1996,8,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,95,33,46415,41728,4687,1189,47604
1996,9,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,97,34,33730,32128,1602,1273,35003
1996,10,10,common/Globalenvs.v,compcert,1,success,,1,1,0,,97,34,36951,34304,2647,1482,38433
2030,1,10,lib/Integers.v,compcert,1,success,,1,1,0,,78,42,97135,87296,9839,2425,99560
2030,2,10,lib/Integers.v,compcert,1,success,,1,1,0,,87,50,129894,122880,7014,2674,132568
2030,3,10,lib/Integers.v,compcert,1,success,,1,1,0,,68,33,55120,49152,5968,1745,56865
2030,4,10,lib/Integers.v,compcert,1,success,,1,1,0,,94,58,165305,159232,6073,3174,168479
2030,5,10,lib/Integers.v,compcert,1,success,,1,1,0,,103,67,180344,167936,12408,4426,184770
2030,6,10,lib/Integers.v,compcert,1,success,,1,1,0,,83,46,113252,105600,7652,2733,115985
2030,7,10,lib/Integers.v,compcert,1,success,,1,1,0,,67,31,37382,35840,1542,1488,38870
2030,8,10,lib/Integers.v,compcert,1,success,,1,1,0,,72,34,73198,62976,10222,2007,75205
2030,9,10,lib/Integers.v,compcert,1,success,,1,1,0,,75,39,64714,59008,5706,1860,66574
2030,10,10,lib/Integers.v,compcert,1,success,,1,1,0,,70,35,57796,52608,5188,1721,59517
2042,1,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,195,168,1079136,1047936,31200,12371,1091507
2042,2,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,66,38,105174,95488,9686,2535,107709
2042,3,10,flocq/IEEE754/BinarySingleNaN.v,compcert,1,success,,1,1,0,,139,111,626043,601600,24443,7881,633924
